holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,high
,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,high
,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,high
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,high
,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,high
,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,high
,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,high
,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,high
,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,high
,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,high
,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,high
,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,high
,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,high
,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,medium
,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,medium
,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,low
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,low
,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,low
,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,low
,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,medium
,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,high
,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,high
,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,high
,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,high
,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,high
,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,high
,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,high
,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,high
,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,high
,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,high
,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,high
,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,high
,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,high
,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,medium
,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,medium
,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,low
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,low
,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,low
,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,low
,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,medium
,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,high
,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,high
,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,high
,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,high
,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,high
,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,high
,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,high
,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,high
,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,high
,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,high
,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,high
,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,high
,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,high
,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,high
,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,high
,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,high
,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,high
,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,medium
,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,medium
,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,low
,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,low
,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,low
,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,high
,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,high
,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,high
,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,high
,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,high
,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,high
,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,high
,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,high
,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,high
,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,high
,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,high
,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,high
,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,high
,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,high
,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,high
,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,high
,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,high
,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,high
,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,medium
,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,medium
,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,low
